
mdupont@mdupont-G470:~/experiments/ai-ticket$ sudo docker-compose up
Creating ai-ticket_jarvis_1 ... 
Creating ai-ticket_auto-gpt-aj_1 ... 
Creating ai-ticket_the_agency_4_1 ... 
Starting ai-ticket_act_base_1     ... 
Creating ai-ticket_scott-gpt_1    ... 
Creating ai-ticket_swarms_of_sparta_1 ... 
Creating ai-ticket_auto-gpt-chat-gpt-prompts_1 ... 
Creating ai-ticket_mason_boom_1                ... 
Creating ai-ticket_the_agency_2_1              ... 
Creating ai-ticket_mason_boom_testgpt_1        ... 
Creating ai-ticket_the_agency_3_1              ... 
Creating ai-ticket_mljar_1                     ... 
Creating ai-ticket_the_agency_1_1              ... 
Creating ai-ticket_mason_boom_pa_1             ... 
Creating ai-ticket_babyagi_1                   ... 
Creating ai-ticket_autogpt-turbo_1             ... 
Starting ai-ticket_poetry_base_1               ... 
Starting ai-ticket_ai_ticket_1                 ... 
ai-ticket_mockopenai_1 is up-to-date
Creating ai-ticket_basic_agent_1               ... 
Creating ai-ticket_arena_1                     ... 
Creating ai-ticket_autogpt_1                   ... 
Attaching to ai-ticket_act_base_1, ai-ticket_mason_boom_pa_1, ai-ticket_mason_boom_1, ai-ticket_poetry_base_1, ai-ticket_auto-gpt-chat-gpt-prompts_1, ai-ticket_mason_boom_testgpt_1, ai-ticket_the_agency_4_1, ai-ticket_babyagi_1, ai-ticket_the_agency_3_1, ai-ticket_scott-gpt_1, ai-ticket_autogpt-turbo_1, ai-ticket_the_agency_2_1, ai-ticket_auto-gpt-aj_1, ai-ticket_mljar_1, ai-ticket_swarms_of_sparta_1, ai-ticket_jarvis_1, ai-ticket_the_agency_1_1, ai-ticket_ai_ticket_1, ai-ticket_mockopenai_1, ai-ticket_basic_agent_1, ai-ticket_arena_1, ai-ticket_autogpt_1
ai-ticket_act_base_1 exited with code 0
auto-gpt-aj_1                | Warning: 文件 'auto-gpt.json' 不存在. 本地内存不会保存到文件中。.
mockopenai_1                 | created comment IssueComment(user=NamedUser(login="jmikedupont2"), id=1765296684)
mockopenai_1                 | 172.18.0.5 - - [16/Oct/2023 21:20:47] "POST /v1/chat/completions HTTP/1.1" 200 -
mockopenai_1                 | Retrying langchain.llms.openai.completion_with_retry.<locals>._completion_with_retry in 4.0 seconds as it raised RateLimitError: Rate limit reached for text-davinci-003 in organization org-ZjaIs4ZsUG8dzXEPqKUwjEt0 on requests per min. Limit: 3 / min. Please try again in 20s. Contact us through our help center at help.openai.com if you continue to have issues. Please add a payment method to your account to increase your rate limit. Visit https://platform.openai.com/account/billing to add a payment method..
mockopenai_1                 | Retrying langchain.llms.openai.completion_with_retry.<locals>._completion_with_retry in 4.0 seconds as it raised RateLimitError: Rate limit reached for text-davinci-003 in organization org-ZjaIs4ZsUG8dzXEPqKUwjEt0 on requests per min. Limit: 3 / min. Please try again in 20s. Contact us through our help center at help.openai.com if you continue to have issues. Please add a payment method to your account to increase your rate limit. Visit https://platform.openai.com/account/billing to add a payment method..
the_agency_1_1               |   • Installing catalogue (2.0.10)
jarvis_1                     | 2023-10-16 21:20:44,137 INFO  - Find bots who are being worked on
swarms_of_sparta_1           | plugins_config.yaml does not exist, creating base config.
ai-ticket_the_agency_2_1 exited with code 0
jarvis_1                     | 2023-10-16 21:20:44,137 INFO  - Find bots who were submitted to the area
the_agency_3_1               | Path /benchmark for agbenchmark does not exist
scott-gpt_1                  | 2023-10-16 21:20:35,010 INFO  NOTE: All files/directories created by this agent can be found inside its workspace at: /app/auto_gpt_workspace
scott-gpt_1                  | 2023-10-16 21:20:35,011 INFO  AutoGpt-Improvement-agent has been created with the following details:
the_agency_1_1               |   • Installing frozenlist (1.4.0)
the_agency_1_1               |   • Installing idna (3.4)
scott-gpt_1                  | 2023-10-16 21:20:35,011 INFO  Name : AutoGpt-Improvement-agent
the_agency_3_1               | Skipping virtualenv creation, as specified in config file.
mljar_1                      | You do not have access to gpt-3.5-turbo-16k. Setting fast_llm to gpt-3.5-turbo.
mljar_1                      | You do not have access to gpt-4-0314. Setting smart_llm to gpt-3.5-turbo.
the_agency_3_1               | /usr/local/bin/python: No module named autogpt
jarvis_1                     | 2023-10-16 21:20:44,137 INFO  - Review git commits from other bots
scott-gpt_1                  | 2023-10-16 21:20:35,011 INFO  Role : improve autogpt
scott-gpt_1                  | 2023-10-16 21:20:35,011 INFO  Goals: 
mljar_1                      | 2023-10-16 21:20:38,037 INFO  Name : AutoGpt-Improvement-agent
mljar_1                      | 2023-10-16 21:20:38,038 INFO  Role : improve autogpt
mljar_1                      | 2023-10-16 21:20:38,038 INFO  Goals: ['improve independence from external apis', 'make multi platform']
the_agency_4_1               | Path /benchmark for agbenchmark does not exist
mljar_1                      | 2023-10-16 21:20:38,038 INFO  API Budget: $10.0
mljar_1                      | 2023-10-16 21:20:38,038 INFO  NOTE: All files/directories created by this agent can be found inside its workspace at: /app/auto_gpt_workspace
mljar_1                      | 2023-10-16 21:20:38,038 INFO  AutoGpt-Improvement-agent has been created with the following details:
scott-gpt_1                  | 2023-10-16 21:20:35,011 INFO  - improve independence from external apis
swarms_of_sparta_1           | You do not have access to gpt-3.5-turbo-16k. Setting fast_llm to gpt-3.5-turbo.
swarms_of_sparta_1           | You do not have access to gpt-4-0314. Setting smart_llm to gpt-3.5-turbo.
the_agency_1_1               |   • Installing multidict (6.0.4)
scott-gpt_1                  | 2023-10-16 21:20:35,011 INFO  - make multi platform
the_agency_1_1               |   • Installing six (1.16.0)
ai-ticket_the_agency_3_1 exited with code 1
swarms_of_sparta_1           | 2023-10-16 21:20:39,410 INFO  Name : AutoGpt-Improvement-agent
swarms_of_sparta_1           | 2023-10-16 21:20:39,410 INFO  Role : improve autogpt
swarms_of_sparta_1           | 2023-10-16 21:20:39,411 INFO  Goals: ['improve independence from external apis', 'make multi platform']
swarms_of_sparta_1           | 2023-10-16 21:20:39,411 INFO  API Budget: $10.0
swarms_of_sparta_1           | 2023-10-16 21:20:39,411 INFO  NOTE: All files/directories created by this agent can be found inside its workspace at: /app/auto_gpt_workspace
mljar_1                      | 2023-10-16 21:20:38,038 INFO  Name : AutoGpt-Improvement-agent
mljar_1                      | 2023-10-16 21:20:38,038 INFO  Role : improve autogpt
mljar_1                      | 2023-10-16 21:20:38,038 INFO  Goals: 
mljar_1                      | 2023-10-16 21:20:38,038 INFO  - improve independence from external apis
scott-gpt_1                  | 2023-10-16 21:20:35,012 INFO  Configured Memory: JSONFileMemory
auto-gpt-aj_1                | Goals:  ['improve independence from external apis', 'make multi platform']
jarvis_1                     | 2023-10-16 21:20:44,137 INFO  - Look for docker files and try and run them
jarvis_1                     | 2023-10-16 21:20:44,137 INFO  - Try and refactor docker images to remove common packages
the_agency_1_1               |   • Installing typing-extensions (4.8.0)
jarvis_1                     | 2023-10-16 21:20:44,137 INFO  - Try and refactor python requirements to remove common python packages
scott-gpt_1                  | 2023-10-16 21:20:35,012 INFO  Configured Browser: chrome
the_agency_4_1               | Skipping virtualenv creation, as specified in config file.
the_agency_1_1               |   • Installing aiosignal (1.3.1)
swarms_of_sparta_1           | 2023-10-16 21:20:39,411 INFO  AutoGpt-Improvement-agent has been created with the following details:
jarvis_1                     | 2023-10-16 21:20:44,137 INFO  - Give a report of recent activities of autogpt bot competitors
the_agency_1_1               |   • Installing asttokens (2.4.0)
the_agency_1_1               |   • Installing async-timeout (4.0.3)
the_agency_4_1               | /usr/local/bin/python: No module named autogpt
jarvis_1                     | 2023-10-16 21:20:44,137 INFO  - The report should be brief, contains only important messages
mljar_1                      | 2023-10-16 21:20:38,038 INFO  - make multi platform
swarms_of_sparta_1           | 2023-10-16 21:20:39,411 INFO  Name : AutoGpt-Improvement-agent
the_agency_1_1               |   • Installing certifi (2023.7.22)
jarvis_1                     | 2023-10-16 21:20:44,137 INFO  - If applicable, provide commits and benchmark results
jarvis_1                     | 2023-10-16 21:20:44,137 INFO  - Give conclusion and suggestions to CEO
swarms_of_sparta_1           | 2023-10-16 21:20:39,411 INFO  Role : improve autogpt
the_agency_1_1               |   • Installing charset-normalizer (3.3.0)
mljar_1                      | 2023-10-16 21:20:38,038 WARNING  Could not load MemoryItems from file: Input is a zero-length, empty document: line 1 column 1 (char 0)
swarms_of_sparta_1           | 2023-10-16 21:20:39,411 INFO  Goals: 
the_agency_1_1               |   • Installing click (8.1.7)
auto-gpt-aj_1                | 使用存储的类型:  LocalCache
mljar_1                      | 2023-10-16 21:20:38,053 INFO  Configured Memory: JSONFileMemory
the_agency_1_1               |   • Installing cymem (2.0.8)
ai-ticket_the_agency_4_1 exited with code 1
mljar_1                      | 2023-10-16 21:20:38,053 INFO  Configured Browser: chrome
the_agency_1_1               |   • Installing exceptiongroup (1.1.3)
swarms_of_sparta_1           | 2023-10-16 21:20:39,411 INFO  - improve independence from external apis
swarms_of_sparta_1           | 2023-10-16 21:20:39,411 INFO  - make multi platform
jarvis_1                     | 2023-10-16 21:20:44,137 WARNING  Could not load MemoryItems from file: Input is a zero-length, empty document: line 1 column 1 (char 0)
swarms_of_sparta_1           | 2023-10-16 21:20:39,411 WARNING  Could not load MemoryItems from file: Input is a zero-length, empty document: line 1 column 1 (char 0)
swarms_of_sparta_1           | 2023-10-16 21:20:39,414 INFO  Configured Memory: JSONFileMemory
swarms_of_sparta_1           | 2023-10-16 21:20:39,414 INFO  Configured Browser: chrome
jarvis_1                     | 2023-10-16 21:20:44,160 INFO  Configured Memory: JSONFileMemory
the_agency_1_1               |   • Installing executing (2.0.0)
the_agency_1_1               |   • Installing h11 (0.14.0)
the_agency_1_1               |   • Installing murmurhash (1.0.10)
jarvis_1                     | 2023-10-16 21:20:44,160 INFO  Configured Browser: chrome
the_agency_1_1               |   • Installing numpy (1.25.2)
the_agency_1_1               |   • Installing outcome (1.2.0)
the_agency_1_1               |   • Installing parso (0.8.3)
the_agency_1_1               |   • Installing ptyprocess (0.7.0)
the_agency_1_1               |   • Installing pure-eval (0.2.2)
the_agency_1_1               |   • Installing pyasn1 (0.5.0)
the_agency_1_1               |   • Installing pydantic (1.10.13)
the_agency_1_1               |   • Installing sniffio (1.3.0)
the_agency_1_1               |   • Installing sortedcontainers (2.4.0)
the_agency_1_1               |   • Installing srsly (2.4.8)
the_agency_1_1               |   • Installing traitlets (5.11.2)
the_agency_1_1               |   • Installing urllib3 (2.0.6)
the_agency_1_1               |   • Installing wcwidth (0.2.8)
the_agency_1_1               |   • Installing yarl (1.9.2)
the_agency_1_1               |   • Installing aiohttp (3.8.6)
the_agency_1_1               |   • Installing anyio (4.0.0)
the_agency_1_1               |   • Installing backcall (0.2.0)
the_agency_1_1               |   • Installing blis (0.7.11)
the_agency_1_1               |   • Installing cachetools (5.3.1)
the_agency_1_1               |   • Installing confection (0.1.3)
the_agency_1_1               |   • Installing decorator (5.1.1)
the_agency_1_1               |   • Installing hpack (4.0.0)
the_agency_1_1               |   • Installing hyperframe (6.0.1)
the_agency_1_1               |   • Installing iniconfig (2.0.0)
the_agency_1_1               |   • Installing jedi (0.19.1)
the_agency_1_1               |   • Installing markupsafe (2.1.3)
the_agency_1_1               |   • Installing matplotlib-inline (0.1.6)
the_agency_1_1               |   • Installing packaging (23.2)
the_agency_1_1               |   • Installing pexpect (4.8.0)
the_agency_1_1               |   • Installing pickleshare (0.7.5)
the_agency_1_1               |   • Installing pluggy (1.3.0)
the_agency_1_1               |   • Installing preshed (3.0.9)
the_agency_1_1               |   • Installing prompt-toolkit (3.0.39)
the_agency_1_1               |   • Installing protobuf (4.24.4)
the_agency_1_1               |   • Installing pyasn1-modules (0.3.0)
the_agency_1_1               |   • Installing pygments (2.16.1)
the_agency_1_1               |   • Installing pyparsing (3.1.1)
the_agency_1_1               |   • Installing pysocks (1.7.1)
the_agency_1_1               |   • Installing requests (2.31.0)
the_agency_1_1               |   • Installing rpds-py (0.10.6)
the_agency_1_1               |   • Installing rsa (4.9)
the_agency_1_1               |   • Updating setuptools (68.2.0 -> 68.2.2)
the_agency_1_1               |   • Installing smart-open (6.4.0)
the_agency_1_1               |   • Installing smmap (5.0.1)
the_agency_1_1               |   • Installing stack-data (0.6.3)
the_agency_1_1               |   • Installing tomli (2.0.1)
the_agency_1_1               |   • Installing tqdm (4.66.1)
the_agency_1_1               |   • Installing trio (0.22.2)
the_agency_1_1               |   • Installing typer (0.9.0)
the_agency_1_1               |   • Installing wasabi (1.1.2)
the_agency_1_1               |   • Installing wsproto (1.2.0)
the_agency_1_1               |   • Installing brotli (1.1.0)
the_agency_1_1               |   • Installing contourpy (1.1.1)
the_agency_1_1               |   • Installing cycler (0.12.1)
the_agency_1_1               |   • Installing distlib (0.3.7)
the_agency_1_1               |   • Installing filelock (3.12.4)
the_agency_1_1               |   • Installing fonttools (4.43.1)
the_agency_1_1               |   • Installing gitdb (4.0.10)
the_agency_1_1               |   • Installing google-auth (2.23.3)
the_agency_1_1               |   • Installing googleapis-common-protos (1.61.0)
the_agency_1_1               |   • Installing h2 (4.1.0)
the_agency_1_1               |   • Installing httpcore (0.17.3)
the_agency_1_1               |   • Installing httplib2 (0.22.0)
the_agency_1_1               |   • Installing ipython (8.16.1)
the_agency_1_1               |   • Installing jinja2 (3.1.2)
the_agency_1_1               |   • Installing jsonpickle (3.0.2)
the_agency_1_1               |   • Installing kiwisolver (1.4.5)
the_agency_1_1               |   • Installing langcodes (3.3.0)
the_agency_1_1               |   • Installing lockfile (0.12.2)
the_agency_1_1               |   • Installing mypy-extensions (1.0.0)
the_agency_1_1               |   • Installing networkx (3.1)
the_agency_1_1               |   • Installing openai (0.27.10)
the_agency_1_1               |   • Installing pathspec (0.11.2)
the_agency_1_1               |   • Installing pathy (0.10.2)
the_agency_1_1               |   • Installing pillow (10.1.0)
the_agency_1_1               |   • Installing platformdirs (3.11.0)
the_agency_1_1               |   • Installing pyflakes (3.1.0)
the_agency_1_1               |   • Installing pyhumps (3.8.0)
2023-10-16 21:20:45,767 INFO  message='OpenAI API response' path=http://mockopenai:5000/v1/chat/completions processing_ms=None request_id=None response_code=200
the_agency_1_1               |   • Installing pytest (7.4.2)
2023-10-16 21:20:45,793 INFO  AUTOGPT-IMPROVEMENT-AGENT THOUGHTS: I encountered an issue with our application, and I need assistance. I've created a ticket for it. Here's the URL to the ticket: https://api.github.com/repos/jmikedupont2/ai-ticket/issues/comments/1765296634. My next action is to poll that URL for updates.
the_agency_1_1               |   • Installing python-dateutil (2.8.2)
scott-gpt_1                  | 2023-10-16 21:20:45,793 INFO  REASONING: todo
scott-gpt_1                  | 2023-10-16 21:20:45,793 INFO  PLAN: 
scott-gpt_1                  | 2023-10-16 21:20:45,793 INFO  -  Initiated a request for assistance.
the_agency_1_1               |   • Installing pytz (2023.3.post1)
scott-gpt_1                  | 2023-10-16 21:20:45,793 INFO  CRITICISM: todo
scott-gpt_1                  | 2023-10-16 21:20:45,793 INFO  SPEAK:  The first goal is to improve independence from external APIs. To do this, I will need to use the execute_python_file command to run a script to search for alternative APIs. I will also use the web_search command to search for existing libraries that can serve as alternatives to external APIs. Once I have identified an alternative API, I will use the execute_python_code command to write code that will integrate the new API into AutoGPT. 
scott-gpt_1                  | 
scott-gpt_1                  | I will then use the open_file command to open the existing AutoGPT code and use the read_file command to read the existing code. I will then use the write_file command to update the existing code with the code that integrates the new API. 
scott-gpt_1                  | 
scott-gpt_1                  | My next goal is to make AutoGPT multi-platform. To do this, I will use the open_folder command to open the existing AutoGPT folder and use the list_folder command to list the files in the folder. I will then use the read_file command to read the files in the folder and the write_file command to write code that will make AutoGPT compatible with other platforms. 
scott-gpt_1                  | 
scott-gpt_1                  | My command to use next is execute_python_file with the filename of the script to
the_agency_1_1               |   • Installing pyyaml (6.0.1)
scott-gpt_1                  | 
the_agency_1_1               |   • Installing referencing (0.30.2)
scott-gpt_1                  | 2023-10-16 21:20:45,793 INFO  NEXT ACTION: COMMAND = request_assistance  ARGUMENTS = {'ticket_url': 'https://api.github.com/repos/jmikedupont2/ai-ticket/issues/comments/1765296634', 'next_action': 'poll_url'}
scott-gpt_1                  | 2023-10-16 21:20:45,793 INFO  Enter 'y' to authorise command, 'y -N' to run N continuous commands, 'n' to exit program, or enter feedback for AutoGpt-Improvement-agent...
the_agency_1_1               |   • Installing setuptools-scm (8.0.4)
the_agency_1_1               |   • Installing socksio (1.0.0)
the_agency_1_1               |   • Installing spacy-legacy (3.0.12)
scott-gpt_1                  | 
scott-gpt_1                  | Aborted!
the_agency_1_1               |   • Installing spacy-loggers (1.0.5)
the_agency_1_1               |   • Installing starlette (0.27.0)
the_agency_1_1               |   • Installing thinc (8.1.12)
the_agency_1_1               |   • Installing trio-websocket (0.11.1)
ai-ticket_scott-gpt_1 exited with code 1
the_agency_1_1               |   • Installing tzdata (2023.3)
the_agency_1_1               |   • Installing wrapt (1.15.0)
the_agency_1_1               |   • Installing abstract-singleton (1.0.1)
the_agency_1_1               |   • Installing aiofiles (23.2.1)
the_agency_1_1               |   • Installing autoflake (2.2.1)
the_agency_1_1               |   • Installing black (23.9.1)
the_agency_1_1               |   • Installing cfgv (3.4.0)
the_agency_1_1               |   • Installing chardet (5.2.0)
the_agency_1_1               |   • Installing colorama (0.4.6)
the_agency_1_1               |   • Installing coverage (7.3.2)
the_agency_1_1               |   • Installing cssselect (1.2.0)
the_agency_1_1               |   • Installing dnspython (2.4.2)
2023-10-16 21:20:47,946 INFO  message='OpenAI API response' path=http://mockopenai:5000/v1/chat/completions processing_ms=None request_id=None response_code=200
the_agency_1_1               |   • Installing execnet (2.0.2)
2023-10-16 21:20:47,997 INFO  AUTOGPT-IMPROVEMENT-AGENT THOUGHTS: I encountered an issue with our application, and I need assistance. I've created a ticket for it. Here's the URL to the ticket: https://api.github.com/repos/jmikedupont2/ai-ticket/issues/comments/1765296684. My next action is to poll that URL for updates.
mason_boom_1                 | 2023-10-16 21:20:47,997 INFO  REASONING: todo
mason_boom_1                 | 2023-10-16 21:20:47,997 INFO  PLAN: 
mason_boom_1                 | 2023-10-16 21:20:47,997 INFO  -  Initiated a request for assistance.
mason_boom_1                 | 2023-10-16 21:20:47,997 INFO  CRITICISM: todo
mason_boom_1                 | 2023-10-16 21:20:47,997 INFO  SPEAK: 
mason_boom_1                 | 
mason_boom_1                 | Step 1. We need to improve the independence of AutoGPT from external APIs. To do so, we should use the command `execute_python_code` to write code that would allow AutoGPT to interact with the APIs without needing to rely on external services.
mason_boom_1                 | 
mason_boom_1                 | Step 2. We need to make AutoGPT multi-platform. To do this, we should use the command `execute_python_file` to write code that would allow AutoGPT to run on multiple platforms.
mason_boom_1                 | 
mason_boom_1                 | Step 3. We should use the command `write_file` to save all the changes we have made so far.
mason_boom_1                 | 
mason_boom_1                 | My thoughts: By using the commands listed above, we can effectively improve the independence of AutoGPT from external APIs and make it multi-platform.
mason_boom_1                 | 
mason_boom_1                 | My plan:
mason_boom_1                 | - Use `execute_python_code` to create code that would allow AutoGPT to interact with APIs without needing to rely on external services
mason_boom_1                 | - Use `execute_python_file` to write code that would allow AutoGPT to run on multiple platforms
mason_boom_1                 | - Use `write_file` to save all the changes we have made
mason_boom_1                 | 
mason_boom_1                 | My criticism: I should have been more proactive in utilizing the resources available to me,
mason_boom_1                 | 
mason_boom_1                 | 2023-10-16 21:20:47,997 INFO  NEXT ACTION: COMMAND = request_assistance  ARGUMENTS = {'ticket_url': 'https://api.github.com/repos/jmikedupont2/ai-ticket/issues/comments/1765296684', 'next_action': 'poll_url'}
mason_boom_1                 | 2023-10-16 21:20:47,997 INFO  Enter 'y' to authorise command, 'y -N' to run N continuous commands, 'n' to exit program, or enter feedback for AutoGpt-Improvement-agent...
the_agency_1_1               |   • Installing fastapi (0.99.1)
mason_boom_1                 | 
mason_boom_1                 | Aborted!
the_agency_1_1               |   • Installing gitpython (3.1.37)
the_agency_1_1               |   • Installing google-api-core (2.12.0)
the_agency_1_1               |   • Installing google-auth-httplib2 (0.1.1)
the_agency_1_1               |   • Installing helicone (1.0.12)
the_agency_1_1               |   • Installing httpx (0.24.1)
the_agency_1_1               |   • Installing identify (2.5.30)
the_agency_1_1               |   • Installing isort (5.12.0)
the_agency_1_1               |   • Installing jsonschema-specifications (2023.7.1)
the_agency_1_1               |   • Installing loguru (0.7.2)
the_agency_1_1               |   • Installing lxml (4.9.3)
the_agency_1_1               |   • Installing matplotlib (3.8.0)
the_agency_1_1               |   • Installing mccabe (0.7.0)
the_agency_1_1               |   • Installing nodeenv (1.8.0)
the_agency_1_1               |   • Installing pandas (2.1.1)
the_agency_1_1               |   • Installing psutil (5.9.6)
the_agency_1_1               |   • Installing py-cpuinfo (9.0.0)
the_agency_1_1               |   • Installing pycodestyle (2.11.1)
the_agency_1_1               |   • Installing pytest-asyncio (0.21.1)
the_agency_1_1               |   • Installing python-dotenv (1.0.0)
the_agency_1_1               |   • Installing python-multipart (0.0.6)
the_agency_1_1               |   • Installing pyvis (0.3.2)
the_agency_1_1               |   • Installing regex (2023.10.3)
the_agency_1_1               |   • Installing selenium (4.14.0)
the_agency_1_1               |   • Installing shellingham (1.5.3)
the_agency_1_1               |   • Installing soupsieve (2.5)
the_agency_1_1               |   • Installing spacy (3.5.4)
the_agency_1_1               |   • Installing toml (0.10.2)
the_agency_1_1               |   • Installing types-html5lib (1.1.11.15)
the_agency_1_1               |   • Installing types-requests (2.31.0.9)
the_agency_1_1               |   • Installing uritemplate (4.1.1)
the_agency_1_1               |   • Installing uvicorn (0.23.2)
the_agency_1_1               |   • Installing vcrpy (4.2.1 2f6fa05)
the_agency_1_1               |   • Installing virtualenv (20.24.5)
the_agency_1_1               |   • Installing websocket-client (1.6.4)
auto-gpt-aj_1                | 使用浏览器:  chrome
ai-ticket_mason_boom_1 exited with code 1
mockopenai_1                 | Retrying langchain.llms.openai.completion_with_retry.<locals>._completion_with_retry in 8.0 seconds as it raised RateLimitError: Rate limit reached for text-davinci-003 in organization org-ZjaIs4ZsUG8dzXEPqKUwjEt0 on requests per min. Limit: 3 / min. Please try again in 20s. Contact us through our help center at help.openai.com if you continue to have issues. Please add a payment method to your account to increase your rate limit. Visit https://platform.openai.com/account/billing to add a payment method..
auto-gpt-chat-gpt-prompts_1  | Skip Re-prompt:  ENABLED
